"date,count,total_count,ratio"
2016-04-25,1632,18569,0.08788841617750014
2016-04-26,2170,20563,0.10552934883042357
2016-04-27,2199,21152,0.10396180030257186
2016-04-28,1306,12996,0.10049245921822099
2016-04-29,1677,14443,0.11611161116111611
2016-04-30,789,4572,0.1725721784776903
2016-05-01,1248,9414,0.1325685149776928
2016-05-02,1565,17965,0.08711383245198998
2016-05-03,2476,19708,0.125634260198904
2016-05-04,2705,20523,0.1318033425912391
2016-05-05,3149,20941,0.15037486270951722
2016-05-06,2179,19691,0.11065969224518815
2016-05-07,746,8953,0.08332402546632414
2016-05-08,944,9642,0.09790499896287078
2016-05-09,1954,19496,0.100225687320476"
""
"2016-05-10,2769,68760,0.040270506108202445
2016-05-11,1426,17578,0.08112413243827511
2016-05-12,1715,13846,0.12386248736097068
2016-05-13,845,7018,0.12040467369620975
2016-05-14,452,3559,0.12700196684461929
2016-05-15,822,8030,0.10236612702366127
2016-05-16,1421,17279,0.08223855547196018
2016-05-17,1786,19111,0.09345403170948668
2016-05-18,1910,19826,0.0963381418339554
2016-05-19,1587,19436,0.08165260341634081
2016-05-20,1609,17939,0.08969284798483751
2016-05-21,683,8532,0.08005157055789967
2016-05-22,644,8312,0.07747834456207892
2016-05-23,1220,17604,0.06930243126562145
2016-05-24,1373,19205,0.0714917990106743
2016-05-25,1780,20203,0.0881057268722467
2016-05-26,1877,19447,0.09651874325088702
2016-05-27,1393,17191,0.0810307719155372
2016-05-28,521,7866,0.06623442664632596
2016-05-29,629,7941,0.0792091676111321
2016-05-30,573,9900,0.05787878787878788
2016-05-31,1593,18052,0.08824506979836029
2016-06-01,1849,20524,0.09008965114012862
2016-06-02,2306,20247,0.11389341630858893
2016-06-03,2215,17889,0.1238191067136229
2016-06-04,995,8828,0.11270956048935206
2016-06-05,997,8873,0.11236334948720839
2016-06-06,1984,17126,0.11584724979563236
2016-06-07,2662,19280,0.13807053941908715
2016-06-08,2132,19535,0.1091374456104428
2016-06-09,1878,19677,0.09544137825888092"
""
"2016-06-10,1668,17960,0.09287305122494433
2016-06-11,699,8264,0.0845837366892546
2016-06-12,880,10566,0.0832860117357562
2016-06-13,1847,18860,0.09793213149522799
2016-06-14,1963,19806,0.09911138038978087
2016-06-15,1763,20006,0.08812356293112067
2016-06-16,1776,20463,0.08679079313883595
2016-06-17,1583,17641,0.08973414205543903
2016-06-18,692,8366,0.08271575424336601
2016-06-19,767,8526,0.08996012197982642
2016-06-20,1534,17602,0.08714918759231906
2016-06-21,1614,18615,0.08670427074939564
2016-06-22,1689,18770,0.08998401704848162
2016-06-23,1279,19328,0.06617342715231789
2016-06-24,1637,18557,0.08821468987444091
2016-06-25,773,8179,0.09451033133634919
2016-06-26,731,8599,0.08500988487033376
2016-06-27,1427,17369,0.08215786746502389
2016-06-28,1172,13316,0.08801441874436768
2016-06-29,1566,18726,0.08362704261454662
2016-06-30,1451,20046,0.07238351790880974
2016-07-01,1357,18453,0.0735381780740259
2016-07-02,608,8395,0.07242406194163192
2016-07-03,625,8124,0.07693254554406696
2016-07-04,652,10195,0.06395291809710643
2016-07-05,1502,17363,0.08650578817024708
2016-07-06,1733,19264,0.08996054817275748
2016-07-07,1467,19625,0.0747515923566879
2016-07-08,1004,18183,0.055216410933289335
2016-07-09,634,8957,0.0707826281120911
2016-07-10,487,8905,0.05468837731611454"
""
"2016-07-11,1367,17606,0.0776439850051119
2016-07-12,1648,18932,0.08704838368899218
2016-07-13,1837,19251,0.09542361435769571
2016-07-14,2628,20310,0.1293943870014771
2016-07-15,2029,18671,0.10867120132826308
2016-07-16,1069,8785,0.12168468981217985
2016-07-17,1203,9286,0.12954986000430757
2016-07-18,3101,18954,0.16360662656958952
2016-07-19,3557,20847,0.17062407060968005
2016-07-20,3256,20785,0.15665143132066395
2016-07-21,3754,20456,0.1835158388736801
2016-07-22,3095,18417,0.16805125699082368
2016-07-23,960,8658,0.11088011088011088
2016-07-24,1137,8977,0.1266570123649326
2016-07-25,2481,18558,0.133688975105076
2016-07-26,2426,20386,0.11900323751594231
2016-07-27,3339,21359,0.15632754342431762
2016-07-28,3098,20923,0.14806672083353248
2016-07-29,2179,18600,0.11715053763440861
2016-07-30,1068,8396,0.12720343020485947
2016-07-31,1331,8931,0.1490314634419438
2016-08-01,2551,17798,0.14333071131587818
2016-08-02,2534,19482,0.13006878143927728
2016-08-03,2596,20217,0.1284067863679082
2016-08-04,2375,19982,0.11885697127414674
2016-08-05,2022,18189,0.1111660893946891
2016-08-06,1083,9020,0.12006651884700666
2016-08-07,920,9521,0.09662850540909568
2016-08-08,1955,18474,0.10582440186207644
2016-08-09,2266,19887,0.11394378237039272
2016-08-10,2087,19891,0.1049218239404756"
""
"2016-08-11,1995,19928,0.1001103974307507
2016-08-12,1678,18205,0.09217248008788795
2016-08-13,768,8826,0.08701563562202583
2016-08-14,640,8907,0.07185359829347704
2016-08-15,1784,17569,0.10154248961238545
2016-08-16,1844,20042,0.09200678574992516
2016-08-17,1960,19905,0.09846772167797035
2016-08-18,1692,19857,0.08520924610968424
2016-08-19,1573,17691,0.08891526765021762
2016-08-20,729,8759,0.08322867907295353
2016-08-21,728,8939,0.08144087705559906
2016-08-22,1572,17011,0.09241079301628358
2016-08-23,1730,23407,0.07390951424787456
2016-08-24,1542,19705,0.07825425019030703
2016-08-25,1733,19715,0.08790261222419478
2016-08-26,1354,17806,0.07604178366842637
2016-08-27,703,8564,0.08208780943484353
2016-08-28,789,9055,0.08713418001104362
2016-08-29,1485,18226,0.08147701086360144
2016-08-30,1497,19465,0.07690726945800154
2016-08-31,2300,20739,0.1109021650031342
2016-09-01,1880,20657,0.09101031127462846
2016-09-02,1641,18522,0.08859734369938452
2016-09-03,778,9775,0.07959079283887469
2016-09-04,673,8769,0.07674763370965902
2016-09-05,1146,11747,0.09755682301864306
2016-09-06,1880,19387,0.09697219786454842
2016-09-07,1868,20064,0.09310207336523126
2016-09-08,2025,21147,0.09575826358348702
2016-09-09,1621,19796,0.08188522933926046
2016-09-10,804,9895,0.08125315816068722"
""
"2016-09-11,1068,10347,0.1032183241519281
2016-09-12,1867,19762,0.0944742434976217
2016-09-13,2009,21382,0.0939575343747077
2016-09-14,2194,21187,0.10355406617265304
2016-09-15,2367,21153,0.11189902141540208
2016-09-16,2332,19379,0.12033644666907477
2016-09-17,853,9530,0.08950682056663169
2016-09-18,937,10888,0.08605804555473916
2016-09-19,1863,19325,0.09640362225097024
2016-09-20,2413,20633,0.11694857752144623
2016-09-21,2088,21416,0.09749719835636907
2016-09-22,2065,20775,0.09939831528279182
2016-09-23,2028,19638,0.10326917201344332
2016-09-24,913,9647,0.09464082098061574
2016-09-25,1016,10223,0.09938374254132838
2016-09-26,3560,20530,0.1734047735021919
2016-09-27,4074,20823,0.1956490419247947
2016-09-28,2555,21137,0.1208780810900317
2016-09-29,1861,21238,0.08762595347961201
2016-09-30,2099,19735,0.10635926019761845
2016-10-01,875,9645,0.09072058061171591
2016-10-02,1278,10577,0.12082821215845703
2016-10-03,2097,19156,0.10946961787429527
2016-10-04,2517,19959,0.1261085224710657
2016-10-05,2212,20819,0.10624909938037369
2016-10-06,1966,20456,0.09610872115760657
2016-10-07,2661,19495,0.13649653757373686
2016-10-08,2526,11293,0.22367838484016647
2016-10-09,2537,9916,0.25584913271480436
2016-10-10,3282,12747,0.25747234643445516
2016-10-11,2322,14617,0.15885612642813163"
""
"2016-10-12,2290,14227,0.16096155197863218
2016-10-13,2870,15716,0.18261644184270806
2016-10-14,2275,13640,0.16678885630498533
2016-10-15,661,4051,0.1631695877561096
2016-10-16,1333,9792,0.1361315359477124
2016-10-17,1982,13270,0.1493594574227581
2016-10-18,2242,13567,0.16525392496498859
2016-10-19,2736,13509,0.20253164556962025
2016-10-20,2785,14082,0.19777020309615112
2016-10-21,1670,12782,0.1306524800500704
2016-10-22,1245,8959,0.13896640250027906
2016-10-23,1395,10064,0.13861287758346583
2016-10-24,1739,13305,0.13070274332957535
2016-10-25,1689,13055,0.1293757181156645
2016-10-26,1655,12715,0.1301612268973653
2016-10-27,1572,13522,0.11625499186510871
2016-10-28,1817,13806,0.13160944516876721
2016-10-29,1029,8826,0.11658735554044868
2016-10-30,1137,9972,0.11401925391095066
2016-10-31,1795,14153,0.12682823429661555
2016-11-01,1974,14153,0.1394757295273087"
