date,count,ratio,year,month
2013-11-16,6,0.0007304601899196,2013,11
2013-11-17,13,0.001418130249809,2013,11
2013-11-18,24,0.0017075773745997,2013,11
2013-11-19,6,0.0004267121826328,2013,11
2013-11-20,6,0.0003847140292382,2013,11
2013-11-21,9,0.0007627118644067,2013,11
2013-11-22,2,0.00041296716911,2013,11
2013-11-23,2,0.0005298013245033,2013,11
2013-11-24,0,0.0,2013,11
2013-11-25,7,0.0016855285335901,2013,11
2013-11-26,4,0.0009622323791195,2013,11
2013-11-27,3,0.0003914915829309,2013,11
2013-11-28,3,0.0005391804457225,2013,11
2013-11-29,9,0.0015082956259426,2013,11
2013-11-30,3,0.0005409304002884,2013,11
2013-12-01,1,0.0003027550711474,2013,12
2013-12-02,2,0.0002851033499643,2013,12
2013-12-03,2,0.0001878287002253,2013,12
2013-12-04,6,0.0011576307158016,2013,12
2013-12-05,219,0.0503679852805887,2013,12
2013-12-06,373,0.0861829944547134,2013,12
2013-12-07,88,0.0345776031434184,2013,12
2013-12-08,86,0.0282430213464696,2013,12
2013-12-09,135,0.0307237141556668,2013,12
2013-12-10,238,0.0524691358024691,2013,12
2013-12-11,130,0.0292595093405356,2013,12
2013-12-12,66,0.0177228786251342,2013,12
2013-12-13,48,0.0012978936268015,2013,12
2013-12-14,35,0.0230870712401055,2013,12
2013-12-15,66,0.0417986067131095,2013,12
2013-12-16,31,0.0090643274853801,2013,12
2013-12-17,25,0.0066383430695698,2013,12
2013-12-18,19,0.0038129640778647,2013,12
2013-12-19,12,0.0033076074972436,2013,12
2013-12-20,10,0.0028288543140028,2013,12
2013-12-21,9,0.0025743707093821,2013,12
2013-12-22,26,0.003639417693169,2013,12
2013-12-23,58,0.0042089985486211,2013,12
2013-12-24,30,0.0030953363598844,2013,12
2013-12-25,7,0.0014715156611309,2013,12
2013-12-26,32,0.0035164835164835,2013,12
2013-12-27,30,0.0029106432521587,2013,12
2013-12-28,21,0.0035431078117091,2013,12
2013-12-29,25,0.0036226633821185,2013,12
2013-12-30,26,0.0023789916735291,2013,12
2013-12-31,40,0.0038354588167609,2013,12
