publish_date,title,media_name
2011-03-08,Google grants $2.5 million to Nelson Mandela Foundation and Desmond Tutu Peace Center,latimes.com
2011-03-08,Google to give $1.25M to Nelson Mandela Foundation,miamiherald.com
2011-03-08,Google to give $1.25M to Nelson Mandela Foundation,stltoday.com
2011-08-03,Google to give $1.25M to Nelson Mandela Foundation,mercurynews.com
2011-03-08,Google grants $2.5 million to Nelson Mandela Foundation and Desmond Tutu Peace Center,latimes.com
2011-02-21,Google to Help Mandela Put Memorabilia Online,wsj.com
2011-03-08,Mandela,cnn.com
2011-03-08,Mandela,cnn.com
2011-03-08,I thought Mandela was going to be shot,cnn.com
2011-03-09,Mandela Foundation launching international fashion clothing line in South Africa,washingtonpost.com
2011-03-17,Search under way for historic Mandela gun,upi.com
2011-03-24,"Mandela foundation to release book of more than 2,000 quotes by the international icon",washingtonpost.com
2011-03-24,Mandela foundation to release book of quotes,foxnews.com
2011-03-28,"Mandela’s foundation launches Twitter account, reaches out to a younger generation online",washingtonpost.com
2011-04-27,New opera tells Winnie Madikizela-Mandela's story,miamiherald.com
2011-04-27,"New opera tells story of Winnie Madikizela-Mandela’s rise, fall and re-ascension",washingtonpost.com
2011-04-27,New opera tells Winnie Madikizela-Mandela's story,stltoday.com
2011-04-27,"New opera tells story of Winnie Madikizela-Mandela's rise, fall and re-ascension",startribune.com
